date,team,opponent,win/loss,score,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,pts,game score,plus/minus
2024-12-08,ATL,DEN,L,111-141,4,2,3,.667,0,1,.000,0,0,,0,2,2,0,0,0,1,1,4,1.9,-9
2024-12-04,ATL,MIL,W,119-104,13,1,5,.200,0,0,,0,0,,1,0,1,2,0,0,0,1,2,0.6,7
2024-12-02,ATL,NOP,W,124-112,12,4,4,1.000,0,0,,2,3,.667,1,1,2,1,0,0,2,0,10,8.1,-8
2024-11-30,ATL,CHO,W,107-104,17,3,9,.333,0,3,.000,3,4,.750,0,2,2,4,1,0,0,0,9,7.9,7
2024-11-29,ATL,CLE,W,117-101,13,0,3,.000,0,2,.000,2,2,1.000,0,0,0,3,1,0,1,1,2,1.6,6
