season,age,team,league,position,total games,games started,minutes played,player efficiency rating,true shooting pct,3-Pts att rate,free throw att rate,offensive rebound rate,defensive rebound rate,total rebound rate,assist pct,steal pct,block pct,turnover pct,player usage pct,offensive win shares,defensive win shares,win shares,win shares (per 48 min),offensive box plus minus,defensive box plus minus,box plus minus,value over replacement player
2023-2024 Season,20,ATL,NBA,SG,17,0,196,9.1,.424,.435,.087,3.2,15.6,9.2,19.3,1.7,2.3,9.5,22.4,-0.3,0.1,-0.1,-0.031,-4.3,-0.2,-4.5,-0.1
2024-2025 Season,21,ATL,NBA,SG,10,0,124,10.6,.483,.404,.383,4.2,14.3,9.1,18.9,1.1,1.5,12.7,20.6,0.0,0.1,0.1,.024,-3.6,-0.6,-4.1,-0.1
