season,age,team,league,position,total games,games started,minutes played,player efficiency rating,true shooting pct,3-Pts att rate,free throw att rate,offensive rebound rate,defensive rebound rate,total rebound rate,assist pct,steal pct,block pct,turnover pct,player usage pct,offensive win shares,defensive win shares,win shares,win shares (per 48 min),offensive box plus minus,defensive box plus minus,box plus minus,value over replacement player
2017-2018 Season,25,SAC,NBA,SG,78,52,2175,13.5,.556,.426,.154,1.6,10.5,5.8,18.3,1.7,0.7,13.2,19.6,1.8,1.1,2.9,.064,-0.6,-0.9,-1.5,0.3
2018-2019 Season,26,SAC,NBA,SG,70,17,1947,14.1,.530,.431,.188,2.1,11.0,6.4,19.3,1.7,0.7,11.1,22.3,1.3,1.4,2.7,.067,-0.1,-0.6,-0.6,0.7
2019-2020 Season,27,SAC,NBA,SG,61,28,1766,15.2,.565,.576,.151,1.6,11.8,6.6,18.0,1.8,0.8,11.1,22.6,1.8,1.3,3.1,.084,1.2,-0.5,0.6,1.2
2020-2021 Season,28,ATL,NBA,SG,44,27,1305,17.6,.616,.589,.078,1.7,11.5,6.7,17.6,1.8,0.9,8.5,21.3,2.8,1.1,3.9,.142,3.3,0.3,3.6,1.8
2021-2022 Season,29,ATL,NBA,SG,63,27,1848,15.4,.562,.578,.145,1.7,13.0,7.4,15.5,1.8,0.7,7.7,21.6,2.5,1.2,3.7,.095,1.5,-0.2,1.3,1.5
2022-2023 Season,30,ATL,NBA,SG,54,9,1508,14.2,.586,.589,.126,1.6,10.4,6.0,13.4,1.4,1.0,9.2,19.8,1.8,1.0,2.8,.088,1.1,-0.7,0.5,0.9
2023-2024 Season,31,ATL,NBA,SG,79,33,2401,14.7,.569,.583,.149,2.3,10.3,6.2,14.9,1.9,1.0,8.7,22.3,2.8,1.2,3.9,.079,0.9,-0.7,0.2,1.4
2024-2025 Season,32,ATL,NBA,SG,24,0,598,7.7,.502,.652,.152,2.1,10.0,5.9,11.2,1.6,0.9,13.4,18.8,-0.4,0.4,0.0,.000,-4.3,-0.6,-4.9,-0.4
