File,Date Last Updated,Time Last Updated
player characteristics.csv,2024-11-07,12:28:42
player season projections.csv,2024-11-07,12:42:12
player totals.csv,2024-11-07,13:29:31
player 36-Min stats.csv,2024-11-07,11:14:26
player advanced stats.csv,2024-11-07,11:14:26
