season,age,team,position,games,games started,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,2-Pts,2-Pts Att,2-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,total pts
2017-2018 Season,25,SAC,SG,78,52,2175,5.7,12.8,.446,2.1,5.4,.392,3.6,7.3,.485,.529,1.7,2.0,.840,0.5,3.2,3.7,4.3,1.2,0.3,2.1,2.8,15.2
2018-2019 Season,26,SAC,SG,70,17,1947,6.7,16.0,.418,2.5,6.9,.360,4.2,9.1,.462,.496,2.5,3.0,.827,0.7,3.8,4.5,4.9,1.3,0.3,2.2,2.6,18.3
2019-2020 Season,27,SAC,SG,61,28,1766,6.9,15.6,.440,3.3,9.0,.372,3.5,6.6,.532,.547,1.8,2.4,.741,0.5,3.7,4.2,4.2,1.3,0.3,2.1,2.7,18.8
2020-2021 Season,28,ATL,SG,44,27,1305,7.4,15.6,.473,4.0,9.2,.438,3.3,6.4,.522,.602,1.1,1.2,.909,0.6,3.9,4.4,4.1,1.4,0.4,1.5,2.7,19.9
2021-2022 Season,29,ATL,SG,63,27,1848,6.7,15.5,.431,3.3,8.9,.368,3.4,6.5,.516,.537,1.9,2.2,.843,0.6,4.3,4.9,3.8,1.3,0.3,1.4,2.6,18.5
2022-2023 Season,30,ATL,SG,54,9,1508,6.5,14.6,.447,3.5,8.6,.406,3.0,6.0,.506,.566,1.5,1.8,.831,0.5,3.4,3.9,3.6,1.0,0.4,1.6,2.1,18.0
2023-2024 Season,31,ATL,SG,79,33,2401,7.1,16.5,.428,3.6,9.6,.374,3.5,6.9,.503,.537,2.3,2.5,.921,0.8,3.3,4.1,3.7,1.4,0.4,1.7,2.7,20.0
2024-2025 Season,32,ATL,SG,24,0,598,5.0,13.5,.371,2.6,8.8,.301,2.3,4.7,.500,.469,1.8,2.0,.882,0.7,3.3,4.0,2.9,1.2,0.4,2.2,3.4,14.4
