date,team,opponent,win/loss,score,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,pts,game score,plus/minus
2025-01-25,ATL,TOR,L,94-117,26,2,12,.167,0,6,.000,0,0,,2,4,6,2,1,1,1,2,4,0.3,-16
2025-01-23,ATL,TOR,L,119-122,32,8,12,.667,3,5,.600,4,5,.800,0,3,3,0,0,1,3,4,23,14.4,6
2025-01-22,ATL,DET,L,104-114,19,0,9,.000,0,4,.000,2,2,1.000,0,3,3,1,1,0,0,0,2,-1.7,-15
2025-01-20,ATL,NYK,L,110-119,15,0,4,.000,0,4,.000,1,2,.500,0,2,2,0,0,0,3,4,1,-6.2,-15
2025-01-18,ATL,BOS,W,119-115,23,2,4,.500,1,3,.333,2,2,1.000,0,3,3,2,1,0,0,2,7,7.5,-4
