date,team,opponent,win/loss,score,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,pts,game score,plus/minus
2025-02-03,ATL,DET,W,132-130,26,5,9,.556,2,6,.333,5,6,.833,0,3,3,2,1,0,0,1,17,15.2,3
2025-02-01,ATL,IND,L,127-132,29,6,11,.545,3,5,.600,2,4,.500,4,1,5,2,0,0,0,0,17,15.4,2
2025-01-30,ATL,CLE,L,115-137,25,11,14,.786,5,6,.833,3,6,.500,0,1,1,1,2,0,0,1,30,26.0,-6
2025-01-27,ATL,MIN,L,92-100,20,4,13,.308,2,6,.333,1,2,.500,3,4,7,3,2,0,2,0,11,8.5,-4
2025-01-14,ATL,PHO,W,122-117,17,1,5,.200,0,2,.000,0,0,,1,3,4,0,0,0,2,4,2,-3.1,-11
