File,Date Last Updated,Time Last Updated
player characteristics.csv,2024-11-07,11:14:31
player season projections.csv,2024-11-07,11:14:31
player totals.csv,2024-11-07,11:14:31
player 36-Min stats.csv,2024-11-07,11:14:31
player advanced stats.csv,2024-11-07,11:14:31
