File,Date Last Updated,Time Last Updated
player characteristics.csv,2024-11-03,00:18:15
player season projections.csv,2024-11-03,00:18:15
player totals.csv,2024-11-03,00:18:15
player 36-Min stats.csv,2024-11-03,00:18:15
player advanced stats.csv,2024-11-03,00:18:15
