season,age,team,position,games,games started,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,2-Pts,2-Pts Att,2-Pts Pct,EFG pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,total pts
2019-2020 Season,23,WAS,SG,18,0,227,24,56,.429,19,46,.413,5,10,.500,.598,31,34,.912,6,18,24,10,8,1,8,32,98
2020-2021 Season,24,WAS,SG,64,24,1038,97,237,.409,76,198,.384,21,39,.538,.570,84,95,.884,16,71,87,26,29,7,10,106,354
2021-2022 Season,25,HOU,SG,65,33,1712,184,461,.399,139,386,.360,45,75,.600,.550,143,180,.794,32,158,190,64,57,24,41,168,650
2022-2023 Season,26,2TM,SG,54,0,686,73,201,.363,63,180,.350,10,21,.476,.520,48,53,.906,11,62,73,26,24,5,19,62,257
2022-2023 Season,26,HOU,SG,45,0,602,60,170,.353,53,155,.342,7,15,.467,.509,41,45,.911,10,52,62,23,23,4,18,56,214
2022-2023 Season,26,ATL,SG,9,0,84,13,31,.419,10,25,.400,3,6,.500,.581,7,8,.875,1,10,11,3,1,1,1,6,43
2023-2024 Season,27,ATL,SG,66,5,992,103,226,.456,85,193,.440,18,33,.545,.644,34,42,.810,17,75,92,37,20,8,19,115,325
2024-2025 Season,28,ATL,SG,41,2,750,91,231,.394,77,196,.393,14,35,.400,.561,63,76,.829,13,65,78,55,26,11,28,74,322
