season,age,team,league,position,total games,games started,minutes played,player efficiency rating,true shooting pct,3-Pts att rate,free throw att rate,offensive rebound rate,defensive rebound rate,total rebound rate,assist pct,steal pct,block pct,turnover pct,player usage pct,offensive win shares,defensive win shares,win shares,win shares (per 48 min),offensive box plus minus,defensive box plus minus,box plus minus,value over replacement player
2019-2020 Season,23,WAS,NBA,SG,18,0,227,13.1,.691,.821,.607,2.8,9.0,5.8,5.8,1.6,0.4,10.1,14.5,0.6,0.1,0.6,.131,-0.6,-0.5,-1.1,0.1
2020-2021 Season,24,WAS,NBA,SG,64,24,1038,9.7,.635,.835,.401,1.6,7.2,4.4,3.1,1.3,0.6,3.5,11.5,1.7,0.6,2.3,.108,-1.7,-0.1,-1.8,0.1
2021-2022 Season,25,HOU,NBA,SG,65,33,1712,11.0,.602,.837,.390,2.0,10.2,6.1,5.3,1.6,1.3,7.1,14.4,2.2,0.5,2.8,.078,-1.3,-1.0,-2.3,-0.1
2022-2023 Season,26,2TM,NBA,SG,54,0,686,9.7,.573,.896,.264,1.7,10.0,5.8,5.1,1.7,0.7,7.8,14.7,0.7,0.3,1.0,.067,-2.0,-0.4,-2.4,-0.1
2022-2023 Season,26,HOU,NBA,SG,45,0,602,9.1,.564,.912,.265,1.8,9.6,5.7,5.1,1.9,0.6,8.7,14.3,0.5,0.2,0.7,.058,-2.3,-0.2,-2.5,-0.1
2022-2023 Season,26,ATL,NBA,SG,9,0,84,14.0,.623,.806,.258,1.3,13.2,7.2,4.7,0.6,1.0,2.8,17.8,0.2,0.0,0.2,.127,0.7,-2.4,-1.7,0.0
2023-2024 Season,27,ATL,NBA,SG,66,5,992,8.9,.665,.854,.186,1.8,8.6,5.1,4.8,1.0,0.7,7.2,11.1,1.4,0.2,1.6,.077,-2.1,-0.9,-3.0,-0.2
2024-2025 Season,28,ATL,NBA,SG,38,2,702,11.6,.609,.847,.310,1.8,8.5,5.0,10.5,1.7,1.5,9.6,15.7,0.9,0.5,1.4,.097,-1.1,-0.3,-1.5,0.1
