season,age,team,position,games,games started,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,2-Pts,2-Pts Att,2-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,total pts
2019-2020 Season,23,WAS,SG,18,0,227,3.8,8.9,.429,3.0,7.3,.413,0.8,1.6,.500,.598,4.9,5.4,.912,1.0,2.9,3.8,1.6,1.3,0.2,1.3,5.1,15.5
2020-2021 Season,24,WAS,SG,64,24,1038,3.4,8.2,.409,2.6,6.9,.384,0.7,1.4,.538,.570,2.9,3.3,.884,0.6,2.5,3.0,0.9,1.0,0.2,0.3,3.7,12.3
2021-2022 Season,25,HOU,SG,65,33,1712,3.9,9.7,.399,2.9,8.1,.360,0.9,1.6,.600,.550,3.0,3.8,.794,0.7,3.3,4.0,1.3,1.2,0.5,0.9,3.5,13.7
2022-2023 Season,26,2TM,SG,54,0,686,3.8,10.5,.363,3.3,9.4,.350,0.5,1.1,.476,.520,2.5,2.8,.906,0.6,3.3,3.8,1.4,1.3,0.3,1.0,3.3,13.5
2022-2023 Season,26,HOU,SG,45,0,602,3.6,10.2,.353,3.2,9.3,.342,0.4,0.9,.467,.509,2.5,2.7,.911,0.6,3.1,3.7,1.4,1.4,0.2,1.1,3.3,12.8
2022-2023 Season,26,ATL,SG,9,0,84,5.6,13.3,.419,4.3,10.7,.400,1.3,2.6,.500,.581,3.0,3.4,.875,0.4,4.3,4.7,1.3,0.4,0.4,0.4,2.6,18.4
2023-2024 Season,27,ATL,SG,66,5,992,3.7,8.2,.456,3.1,7.0,.440,0.7,1.2,.545,.644,1.2,1.5,.810,0.6,2.7,3.3,1.3,0.7,0.3,0.7,4.2,11.8
2024-2025 Season,28,ATL,SG,41,2,750,4.4,11.1,.394,3.7,9.4,.393,0.7,1.7,.400,.561,3.0,3.6,.829,0.6,3.1,3.7,2.6,1.2,0.5,1.3,3.6,15.5
