season,age,team,position,games,games started,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,2-Pts,2-Pts Att,2-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,total pts
2018-2019 Season,20,ATL,PG,81,81,2503,7.6,18.1,.418,2.2,6.9,.324,5.3,11.1,.477,.480,4.9,6.0,.829,0.9,3.4,4.3,9.4,1.0,0.2,4.4,2.0,22.3
2019-2020 Season,21,ATL,PG,60,60,2120,9.3,21.2,.437,3.5,9.6,.361,5.8,11.6,.501,.519,8.2,9.5,.860,0.5,3.8,4.3,9.5,1.1,0.1,4.9,1.8,30.2
2020-2021 Season,22,ATL,PG,63,63,2125,8.3,18.8,.438,2.3,6.7,.343,5.9,12.1,.491,.499,8.2,9.2,.886,0.6,3.5,4.2,10.1,0.9,0.2,4.4,1.9,27.0
2021-2022 Season,23,ATL,PG,76,76,2652,9.7,21.0,.460,3.2,8.3,.382,6.5,12.7,.512,.536,6.8,7.5,.904,0.7,3.2,3.9,10.0,1.0,0.1,4.1,1.7,29.3
2022-2023 Season,24,ATL,PG,73,73,2541,8.5,19.7,.429,2.2,6.5,.335,6.3,13.2,.476,.485,8.0,9.1,.886,0.8,2.3,3.1,10.5,1.1,0.1,4.3,1.5,27.1
2023-2024 Season,25,ATL,PG,54,54,1942,8.0,18.7,.430,3.2,8.7,.373,4.8,10.0,.479,.516,6.5,7.5,.855,0.4,2.3,2.8,10.8,1.3,0.2,4.4,2.0,25.7
2024-2025 Season,26,ATL,PG,46,46,1653,7.1,17.5,.404,2.9,8.6,.343,4.1,8.9,.463,.488,6.0,7.0,.858,0.5,2.7,3.2,11.5,1.3,0.2,4.6,2.0,23.1
