date,team,opponent,win/loss,score,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,pts,game score,plus/minus
2025-02-03,ATL,DET,W,132-130,35,9,16,.563,4,8,.500,12,14,.857,0,0,0,9,0,0,5,5,34,24.9,-11
2025-02-01,ATL,IND,L,127-132,37,11,26,.423,5,15,.333,7,7,1.000,0,3,3,17,2,0,5,2,34,29.2,2
2025-01-30,ATL,CLE,L,115-137,32,5,16,.313,2,8,.250,3,4,.750,0,1,1,10,1,0,2,1,15,11.3,-9
2025-01-28,ATL,HOU,L,96-100,34,7,16,.438,2,9,.222,5,5,1.000,1,2,3,9,0,0,8,2,21,11.4,4
2025-01-25,ATL,TOR,L,94-117,38,5,12,.417,1,4,.250,5,8,.625,1,3,4,4,0,0,11,2,16,1.0,-28
