date,team,opponent,win/loss,score,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,pts,game score,plus/minus
2025-01-27,ATL,MIN,L,92-100,21,5,7,.714,0,0,,0,2,.000,6,9,15,3,1,1,2,2,10,14.2,6
2025-01-25,ATL,TOR,L,94-117,14,2,5,.400,0,0,,1,1,1.000,1,3,4,0,0,0,1,2,5,2.1,-9
2025-01-22,ATL,DET,L,104-114,21,6,8,.750,0,0,,4,5,.800,5,5,10,0,1,2,1,3,16,17.6,-8
2025-01-20,ATL,NYK,L,110-119,20,5,9,.556,0,0,,2,2,1.000,7,2,9,0,0,2,2,0,12,12.6,-17
2025-01-18,ATL,BOS,W,119-115,21,1,4,.250,0,0,,1,2,.500,2,7,9,1,0,0,1,3,3,2.2,-6
