date,team,opponent,win/loss,score,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,pts,game score,plus/minus
2025-02-03,ATL,DET,W,132-130,28,5,7,.714,0,1,.000,2,2,1.000,1,7,8,1,0,2,1,3,12,11.8,-10
2025-02-01,ATL,IND,L,127-132,29,6,7,.857,0,0,,0,2,.000,1,10,11,3,1,0,0,3,12,14.3,5
2025-01-30,ATL,CLE,L,115-137,28,6,11,.545,1,2,.500,1,2,.500,4,3,7,4,1,0,2,2,14,13.0,-5
2025-01-28,ATL,HOU,L,96-100,28,3,4,.750,1,2,.500,0,0,,2,4,6,1,2,1,1,4,7,8.8,11
2025-01-27,ATL,MIN,L,92-100,27,2,9,.222,1,3,.333,2,4,.500,0,7,7,1,1,0,4,4,7,-1.1,-14
