date,team,opponent,win/loss,score,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,pts,game score,plus/minus
2025-01-30,ATL,CLE,L,115-137,16,4,7,.571,0,2,.000,0,1,.000,0,2,2,1,3,1,0,2,8,8.5,-4
2025-01-28,ATL,HOU,L,96-100,22,5,11,.455,1,4,.250,0,0,,2,5,7,0,0,1,0,1,11,8.5,-7
2025-01-27,ATL,MIN,L,92-100,19,2,9,.222,0,6,.000,0,0,,1,3,4,1,2,0,0,1,4,2.4,9
2024-11-04,ATL,BOS,L,93-123,8,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,0,0,-1.8,3
2024-10-27,ATL,OKC,L,104-128,3,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,-4
