date,team,opponent,win/loss,score,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,pts,game score,plus/minus
2025-01-23,ATL,TOR,L,119-122,11,1,2,.500,0,0,,1,2,.500,0,1,1,1,1,0,2,2,3,0.8,-10
2025-01-22,ATL,DET,L,104-114,38,8,21,.381,0,6,.000,1,1,1.000,1,8,9,4,6,0,2,0,17,15.4,-6
2025-01-20,ATL,NYK,L,110-119,35,4,12,.333,0,0,,3,3,1.000,1,11,12,4,0,1,2,1,11,9.3,-13
2025-01-18,ATL,BOS,W,119-115,38,5,13,.385,0,2,.000,4,7,.571,2,11,13,3,1,1,3,0,14,11.2,6
2025-01-03,ATL,LAL,L,102-119,33,8,13,.615,1,3,.333,2,2,1.000,2,6,8,1,0,1,3,2,19,13.9,-8
