season,age,team,position,games,games started,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,2-Pts,2-Pts Att,2-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,total pts
2021-2022 Season,20,ATL,PF,22,0,120,6.6,12.3,.537,0.9,3.9,.231,5.7,8.4,.679,.573,1.5,2.1,.714,0.6,7.2,7.8,0.9,0.9,0.6,2.7,2.7,15.6
2022-2023 Season,21,ATL,SF,70,6,1042,5.5,11.1,.491,1.0,3.6,.288,4.4,7.5,.587,.537,1.7,2.7,.628,1.8,8.0,9.7,2.9,1.3,1.2,1.4,3.9,13.6
2023-2024 Season,22,ATL,SF,56,52,1889,6.8,13.4,.511,1.4,3.8,.355,5.5,9.6,.574,.562,2.0,2.8,.728,1.4,7.9,9.3,3.9,1.3,0.9,1.9,2.5,17.1
2024-2025 Season,23,ATL,SF,36,36,1284,7.6,15.2,.500,1.2,4.0,.312,6.4,11.2,.566,.541,2.6,3.5,.746,1.7,8.3,10.1,5.1,1.6,1.0,3.0,1.9,19.1
