season,age,team,league,position,total games,games started,minutes played,player efficiency rating,true shooting pct,3-Pts att rate,free throw att rate,offensive rebound rate,defensive rebound rate,total rebound rate,assist pct,steal pct,block pct,turnover pct,player usage pct,offensive win shares,defensive win shares,win shares,win shares (per 48 min),offensive box plus minus,defensive box plus minus,box plus minus,value over replacement player
2021-2022 Season,20,ATL,NBA,PF,22,0,120,11.3,.590,.317,.171,1.8,21.8,11.9,3.7,1.2,1.5,17.0,19.3,-0.1,0.1,0.0,.013,-3.9,-1.1,-4.9,-0.1
2022-2023 Season,21,ATL,NBA,SF,70,6,1042,14.1,.554,.323,.242,5.3,24.6,14.8,10.4,1.7,2.8,10.3,16.0,0.8,1.3,2.1,.099,-1.2,1.5,0.3,0.6
2023-2024 Season,22,ATL,NBA,SF,56,52,1889,16.3,.584,.285,.209,4.1,24.8,14.1,15.4,1.7,2.2,11.6,19.1,2.1,1.7,3.8,.098,0.4,0.8,1.2,1.5
2024-2025 Season,23,ATL,NBA,SF,36,36,1284,17.4,.569,.260,.232,5.0,25.5,15.0,21.4,2.0,2.6,15.1,22.3,0.9,1.7,2.6,.096,0.3,1.3,1.6,1.2
