date,team,opponent,win/loss,score,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,pts,game score,plus/minus
2025-02-03,ATL,DET,W,132-130,28,5,9,.556,3,6,.500,0,0,,0,4,4,2,1,1,1,2,13,11.2,0
2025-02-01,ATL,IND,L,127-132,15,1,3,.333,1,3,.333,2,2,1.000,0,0,0,0,0,0,0,4,5,1.7,-10
2025-01-30,ATL,CLE,L,115-137,21,2,3,.667,1,2,.500,1,2,.500,1,0,1,0,0,0,1,6,6,1.6,-22
2025-01-28,ATL,HOU,L,96-100,36,5,14,.357,2,10,.200,1,2,.500,0,5,5,2,2,1,1,1,13,9.0,1
2025-01-27,ATL,MIN,L,92-100,34,2,6,.333,0,4,.000,0,0,,1,4,5,6,1,0,4,3,4,2.5,-11
