season,age,team,position,games,games started,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,2-Pts,2-Pts Att,2-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,total pts
2021-2022 Season,21,OKC,SG,30,8,690,3.5,8.7,.407,1.7,5.1,.327,1.9,3.6,.522,.503,1.0,1.1,.864,0.9,4.3,5.3,3.0,1.0,0.4,1.5,3.4,9.8
2022-2023 Season,22,ATL,PG,29,0,165,3.3,8.1,.405,1.1,4.6,.238,2.2,3.5,.625,.473,0.2,0.4,.500,1.3,4.4,5.7,3.7,1.1,0.2,1.1,3.7,7.9
2023-2024 Season,23,ATL,PG,22,14,541,3.4,6.9,.490,1.9,4.5,.412,1.5,2.4,.639,.625,0.3,0.4,.833,0.7,2.7,3.5,3.3,0.9,0.4,1.3,3.2,9.0
2024-2025 Season,24,ATL,PG,35,15,711,4.2,9.7,.435,2.4,6.4,.370,1.8,3.2,.563,.558,1.0,1.4,.704,0.7,3.5,4.2,4.5,1.3,0.9,1.6,3.5,11.7
