date,team,opponent,win/loss,score,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,pts,game score,plus/minus
2025-02-03,ATL,DET,W,132-130,13,0,2,.000,0,0,,2,2,1.000,0,0,0,4,0,0,1,3,2,1.2,13
2025-02-01,ATL,IND,L,127-132,14,2,4,.500,0,1,.000,0,0,,0,2,2,2,1,0,0,2,4,4.2,-13
2025-01-30,ATL,CLE,L,115-137,16,1,5,.200,0,4,.000,0,0,,0,0,0,3,1,0,1,2,2,0.2,-13
2025-01-28,ATL,HOU,L,96-100,22,3,4,.750,1,2,.500,0,0,,1,0,1,0,1,0,3,2,7,3.3,-14
2025-01-27,ATL,MIN,L,92-100,35,4,12,.333,3,9,.333,2,2,1.000,1,2,3,7,2,0,3,3,13,10.2,-7
