season,age,team,position,games,games started,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,2-Pts,2-Pts Att,2-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,total pts
2022-2023 Season,19,SAS,PF,28,0,408,4.1,7.6,.535,0.0,0.4,.000,4.1,7.2,.561,.535,1.6,2.2,.720,4.1,4.9,9.0,2.1,0.9,1.7,1.3,4.9,9.7
2023-2024 Season,20,SAS,PF,33,1,420,4.8,9.7,.496,0.3,0.8,.333,4.5,8.9,.510,.509,2.5,3.6,.690,3.9,5.8,9.7,3.1,1.0,1.2,0.8,4.0,12.3
2024-2025 Season,21,ATL,SF,13,1,88,4.9,11.5,.429,0.8,2.9,.286,4.1,8.6,.476,.464,1.6,2.9,.571,1.2,5.3,6.5,1.2,1.2,1.2,0.0,2.5,12.3
