File,Date Last Updated,Time Last Updated
player characteristics.csv,2024-11-07,11:20:09
player season projections.csv,2024-11-07,11:20:09
player totals.csv,2024-11-07,11:20:09
player 36-Min stats.csv,2024-11-07,11:20:09
player advanced stats.csv,2024-11-07,11:20:09
