season,age,team,position,games,games started,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,2-Pts,2-Pts Att,2-Pts Pct,EFG pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,total pts
2022-2023 Season,21,MEM,PF,70,4,1258,180,420,.429,65,212,.307,115,208,.553,.506,41,65,.631,50,143,193,59,29,19,57,107,466
2023-2024 Season,22,2TM,PF,65,13,1177,165,409,.403,48,164,.293,117,245,.478,.462,47,68,.691,53,158,211,80,27,11,57,72,425
2023-2024 Season,22,MEM,PF,48,13,1114,155,386,.402,47,156,.301,108,230,.470,.462,46,67,.687,51,149,200,76,25,11,54,68,403
2023-2024 Season,22,PHO,PF,17,0,63,10,23,.435,1,8,.125,9,15,.600,.457,1,1,1.000,2,9,11,4,2,0,3,4,22
2024-2025 Season,23,ATL,PF,27,3,346,44,93,.473,16,43,.372,28,50,.560,.559,18,22,.818,11,59,70,30,12,8,20,18,122
