season,age,team,position,games,games started,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,2-Pts,2-Pts Att,2-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,total pts
2019-2020 Season,22,ATL,SF,63,62,2018,5.0,12.2,.410,1.9,5.4,.355,3.1,6.8,.454,.489,2.0,2.6,.764,0.8,4.3,5.1,2.0,0.8,0.3,1.8,3.2,13.9
2020-2021 Season,23,ATL,SF,23,19,678,6.4,13.2,.484,1.6,5.0,.326,4.7,8.1,.582,.546,3.9,4.5,.859,0.9,4.9,5.8,2.3,1.0,0.6,1.5,3.1,18.3
2021-2022 Season,24,ATL,SF,53,52,1577,5.8,13.1,.442,1.7,4.5,.379,4.1,8.7,.474,.506,2.9,3.8,.765,0.6,3.4,4.0,1.6,0.8,0.5,1.6,3.5,16.2
2022-2023 Season,25,ATL,SF,67,67,2126,6.4,13.9,.461,1.7,4.8,.350,4.7,9.1,.521,.522,2.9,3.5,.826,0.8,4.0,4.8,1.6,0.6,0.3,1.4,3.4,17.4
2023-2024 Season,26,ATL,SF,57,37,1681,6.5,14.2,.459,2.5,6.5,.385,4.0,7.7,.521,.547,3.6,4.2,.847,0.7,4.1,4.8,1.9,0.9,0.3,1.8,3.1,19.1
2024-2025 Season,27,ATL,SF,36,3,1025,7.7,16.8,.459,3.2,8.3,.386,4.5,8.5,.531,.555,5.3,6.2,.858,0.9,3.8,4.7,1.8,1.0,0.2,2.0,3.0,23.9
