Game,Home Team,Visitor Team,Date,Time,Arena
New York Knicks @ Boston Celtics,Boston Celtics,New York Knicks,"Tue, Oct 22, 2024",7:30p,TD Garden
Minnesota Timberwolves @ Los Angeles Lakers,Los Angeles Lakers,Minnesota Timberwolves,"Tue, Oct 22, 2024",10:00p,Crypto.com Arena
Indiana Pacers @ Detroit Pistons,Detroit Pistons,Indiana Pacers,"Wed, Oct 23, 2024",7:00p,Little Caesars Arena
Brooklyn Nets @ Atlanta Hawks,Atlanta Hawks,Brooklyn Nets,"Wed, Oct 23, 2024",7:30p,State Farm Arena
Orlando Magic @ Miami Heat,Miami Heat,Orlando Magic,"Wed, Oct 23, 2024",7:30p,Kaseya Center
Milwaukee Bucks @ Philadelphia 76ers,Philadelphia 76ers,Milwaukee Bucks,"Wed, Oct 23, 2024",7:30p,Wells Fargo Center
Cleveland Cavaliers @ Toronto Raptors,Toronto Raptors,Cleveland Cavaliers,"Wed, Oct 23, 2024",7:30p,Scotiabank Arena
Charlotte Hornets @ Houston Rockets,Houston Rockets,Charlotte Hornets,"Wed, Oct 23, 2024",8:00p,Toyota Center
Chicago Bulls @ New Orleans Pelicans,New Orleans Pelicans,Chicago Bulls,"Wed, Oct 23, 2024",8:00p,Smoothie King Center
Memphis Grizzlies @ Utah Jazz,Utah Jazz,Memphis Grizzlies,"Wed, Oct 23, 2024",9:00p,Delta Center
Phoenix Suns @ Los Angeles Clippers,Los Angeles Clippers,Phoenix Suns,"Wed, Oct 23, 2024",10:00p,Intuit Dome
Golden State Warriors @ Portland Trail Blazers,Portland Trail Blazers,Golden State Warriors,"Wed, Oct 23, 2024",10:00p,Moda Center
Boston Celtics @ Washington Wizards,Washington Wizards,Boston Celtics,"Thu, Oct 24, 2024",7:00p,Capital One Arena
San Antonio Spurs @ Dallas Mavericks,Dallas Mavericks,San Antonio Spurs,"Thu, Oct 24, 2024",7:30p,American Airlines Center
Minnesota Timberwolves @ Sacramento Kings,Sacramento Kings,Minnesota Timberwolves,"Thu, Oct 24, 2024",10:00p,Golden 1 Center
Oklahoma City Thunder @ Denver Nuggets,Denver Nuggets,Oklahoma City Thunder,"Thu, Oct 24, 2024",10:00p,Ball Arena
Brooklyn Nets @ Orlando Magic,Orlando Magic,Brooklyn Nets,"Fri, Oct 25, 2024",7:00p,Kia Center
Philadelphia 76ers @ Toronto Raptors,Toronto Raptors,Philadelphia 76ers,"Fri, Oct 25, 2024",7:00p,Scotiabank Arena
Charlotte Hornets @ Atlanta Hawks,Atlanta Hawks,Charlotte Hornets,"Fri, Oct 25, 2024",7:30p,State Farm Arena
Detroit Pistons @ Cleveland Cavaliers,Cleveland Cavaliers,Detroit Pistons,"Fri, Oct 25, 2024",7:30p,Rocket Mortgage Fieldhouse
Indiana Pacers @ New York Knicks,New York Knicks,Indiana Pacers,"Fri, Oct 25, 2024",7:30p,Madison Square Garden (IV)
Memphis Grizzlies @ Houston Rockets,Houston Rockets,Memphis Grizzlies,"Fri, Oct 25, 2024",8:00p,Toyota Center
Chicago Bulls @ Milwaukee Bucks,Milwaukee Bucks,Chicago Bulls,"Fri, Oct 25, 2024",8:00p,Fiserv Forum
Golden State Warriors @ Utah Jazz,Utah Jazz,Golden State Warriors,"Fri, Oct 25, 2024",9:30p,Delta Center
Phoenix Suns @ Los Angeles Lakers,Los Angeles Lakers,Phoenix Suns,"Fri, Oct 25, 2024",10:00p,Crypto.com Arena
New Orleans Pelicans @ Portland Trail Blazers,Portland Trail Blazers,New Orleans Pelicans,"Fri, Oct 25, 2024",10:00p,Moda Center
Los Angeles Clippers @ Denver Nuggets,Denver Nuggets,Los Angeles Clippers,"Sat, Oct 26, 2024",5:00p,Ball Arena
