Game,Home Team,Visitor Team,Date,Time,Arena
Cleveland Cavaliers @ Washington Wizards,Washington Wizards,Cleveland Cavaliers,"Sat, Oct 26, 2024",7:00p,Capital One Arena
Boston Celtics @ Detroit Pistons,Detroit Pistons,Boston Celtics,"Sat, Oct 26, 2024",7:00p,Little Caesars Arena
Miami Heat @ Charlotte Hornets,Charlotte Hornets,Miami Heat,"Sat, Oct 26, 2024",7:00p,Spectrum Center
Orlando Magic @ Memphis Grizzlies,Memphis Grizzlies,Orlando Magic,"Sat, Oct 26, 2024",8:00p,FedEx Forum
Toronto Raptors @ Minnesota Timberwolves,Minnesota Timberwolves,Toronto Raptors,"Sat, Oct 26, 2024",8:00p,Target Center
Oklahoma City Thunder @ Chicago Bulls,Chicago Bulls,Oklahoma City Thunder,"Sat, Oct 26, 2024",8:00p,United Center
Houston Rockets @ San Antonio Spurs,San Antonio Spurs,Houston Rockets,"Sat, Oct 26, 2024",8:30p,Frost Bank Center
Dallas Mavericks @ Phoenix Suns,Phoenix Suns,Dallas Mavericks,"Sat, Oct 26, 2024",10:00p,Footprint Center
Sacramento Kings @ Los Angeles Lakers,Los Angeles Lakers,Sacramento Kings,"Sat, Oct 26, 2024",10:30p,Crypto.com Arena
Philadelphia 76ers @ Indiana Pacers,Indiana Pacers,Philadelphia 76ers,"Sun, Oct 27, 2024",3:30p,Gainbridge Fieldhouse
New Orleans Pelicans @ Portland Trail Blazers,Portland Trail Blazers,New Orleans Pelicans,"Sun, Oct 27, 2024",6:00p,Moda Center
Milwaukee Bucks @ Brooklyn Nets,Brooklyn Nets,Milwaukee Bucks,"Sun, Oct 27, 2024",6:00p,Barclays Center
Atlanta Hawks @ Oklahoma City Thunder,Oklahoma City Thunder,Atlanta Hawks,"Sun, Oct 27, 2024",7:00p,Paycom Center
Los Angeles Clippers @ Golden State Warriors,Golden State Warriors,Los Angeles Clippers,"Sun, Oct 27, 2024",8:30p,Chase Center
Indiana Pacers @ Orlando Magic,Orlando Magic,Indiana Pacers,"Mon, Oct 28, 2024",7:00p,Kia Center
Washington Wizards @ Atlanta Hawks,Atlanta Hawks,Washington Wizards,"Mon, Oct 28, 2024",7:30p,State Farm Arena
Milwaukee Bucks @ Boston Celtics,Boston Celtics,Milwaukee Bucks,"Mon, Oct 28, 2024",7:30p,TD Garden
Denver Nuggets @ Toronto Raptors,Toronto Raptors,Denver Nuggets,"Mon, Oct 28, 2024",7:30p,Scotiabank Arena
Detroit Pistons @ Miami Heat,Miami Heat,Detroit Pistons,"Mon, Oct 28, 2024",7:30p,Kaseya Center
Cleveland Cavaliers @ New York Knicks,New York Knicks,Cleveland Cavaliers,"Mon, Oct 28, 2024",7:30p,Madison Square Garden (IV)
Houston Rockets @ San Antonio Spurs,San Antonio Spurs,Houston Rockets,"Mon, Oct 28, 2024",8:00p,Frost Bank Center
Chicago Bulls @ Memphis Grizzlies,Memphis Grizzlies,Chicago Bulls,"Mon, Oct 28, 2024",8:00p,FedEx Forum
Utah Jazz @ Dallas Mavericks,Dallas Mavericks,Utah Jazz,"Mon, Oct 28, 2024",8:30p,American Airlines Center
Portland Trail Blazers @ Sacramento Kings,Sacramento Kings,Portland Trail Blazers,"Mon, Oct 28, 2024",10:00p,Golden 1 Center
Los Angeles Lakers @ Phoenix Suns,Phoenix Suns,Los Angeles Lakers,"Mon, Oct 28, 2024",10:00p,Footprint Center
Denver Nuggets @ Brooklyn Nets,Brooklyn Nets,Denver Nuggets,"Tue, Oct 29, 2024",7:30p,Barclays Center
Dallas Mavericks @ Minnesota Timberwolves,Minnesota Timberwolves,Dallas Mavericks,"Tue, Oct 29, 2024",7:30p,Target Center
Sacramento Kings @ Utah Jazz,Utah Jazz,Sacramento Kings,"Tue, Oct 29, 2024",9:00p,Delta Center
New Orleans Pelicans @ Golden State Warriors,Golden State Warriors,New Orleans Pelicans,"Tue, Oct 29, 2024",10:00p,Chase Center
Detroit Pistons @ Philadelphia 76ers,Philadelphia 76ers,Detroit Pistons,"Wed, Oct 30, 2024",7:00p,Wells Fargo Center
Atlanta Hawks @ Washington Wizards,Washington Wizards,Atlanta Hawks,"Wed, Oct 30, 2024",7:00p,Capital One Arena
Boston Celtics @ Indiana Pacers,Indiana Pacers,Boston Celtics,"Wed, Oct 30, 2024",7:00p,Gainbridge Fieldhouse
Los Angeles Lakers @ Cleveland Cavaliers,Cleveland Cavaliers,Los Angeles Lakers,"Wed, Oct 30, 2024",7:00p,Rocket Mortgage Fieldhouse
Toronto Raptors @ Charlotte Hornets,Charlotte Hornets,Toronto Raptors,"Wed, Oct 30, 2024",7:00p,Spectrum Center
New York Knicks @ Miami Heat,Miami Heat,New York Knicks,"Wed, Oct 30, 2024",7:30p,Kaseya Center
Orlando Magic @ Chicago Bulls,Chicago Bulls,Orlando Magic,"Wed, Oct 30, 2024",8:00p,United Center
Brooklyn Nets @ Memphis Grizzlies,Memphis Grizzlies,Brooklyn Nets,"Wed, Oct 30, 2024",8:00p,FedEx Forum
San Antonio Spurs @ Oklahoma City Thunder,Oklahoma City Thunder,San Antonio Spurs,"Wed, Oct 30, 2024",9:30p,Paycom Center
New Orleans Pelicans @ Golden State Warriors,Golden State Warriors,New Orleans Pelicans,"Wed, Oct 30, 2024",10:00p,Chase Center
Portland Trail Blazers @ Los Angeles Clippers,Los Angeles Clippers,Portland Trail Blazers,"Wed, Oct 30, 2024",10:30p,Intuit Dome
Milwaukee Bucks @ Memphis Grizzlies,Memphis Grizzlies,Milwaukee Bucks,"Thu, Oct 31, 2024",8:00p,FedEx Forum
Houston Rockets @ Dallas Mavericks,Dallas Mavericks,Houston Rockets,"Thu, Oct 31, 2024",8:30p,American Airlines Center
San Antonio Spurs @ Utah Jazz,Utah Jazz,San Antonio Spurs,"Thu, Oct 31, 2024",9:00p,Delta Center
Phoenix Suns @ Los Angeles Clippers,Los Angeles Clippers,Phoenix Suns,"Thu, Oct 31, 2024",10:30p,Intuit Dome
