date,team,opponent,win/loss,score,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,pts,game score,plus/minus
2025-02-03,ATL,DET,W,132-130,20,5,8,.625,2,4,.500,0,0,,2,8,10,2,1,0,0,2,12,13.8,12
2025-02-01,ATL,IND,L,127-132,19,2,5,.400,0,0,,0,0,,0,5,5,1,0,0,1,1,4,2.1,-10
2025-01-30,ATL,CLE,L,115-137,15,0,5,.000,0,2,.000,0,0,,1,4,5,2,0,0,0,0,0,-0.2,-16
2025-01-28,ATL,HOU,L,96-100,20,2,7,.286,1,4,.250,1,2,.500,0,2,2,1,2,1,0,2,6,4.7,-15
2025-01-25,ATL,TOR,L,94-117,20,2,10,.200,0,4,.000,0,0,,1,3,4,1,0,0,1,1,4,-1.3,-11
