season,age,team,position,games,games started,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,2-Pts,2-Pts Att,2-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,total pts
2022-2023 Season,19,NOP,PG,59,11,1042,3.0,7.2,.418,0.9,3.0,.314,2.1,4.2,.492,.483,0.9,1.4,.650,1.2,5.3,6.5,4.6,1.5,0.4,2.0,3.4,7.8
2023-2024 Season,20,NOP,PG,61,16,1358,3.7,8.2,.447,1.1,3.6,.311,2.6,4.7,.551,.514,0.9,1.4,.642,1.6,4.6,6.3,4.3,2.3,0.7,1.6,2.7,9.4
2024-2025 Season,21,ATL,SG,45,45,1517,6.1,13.1,.469,1.2,3.8,.323,4.9,9.2,.530,.516,1.1,1.9,.608,1.8,3.8,5.7,4.0,3.3,0.9,2.0,2.7,14.6
