date,team,opponent,win/loss,score,minutes played,field goals,field goal att,field goal pct,3-Pts,3-Pts Att,3-Pts Pct,free throws,free throw att,free throw pct,offensive rebounds,defensive rebounds,total rebounds,assists,steals,blocks,turnovers,personal fouls,pts,game score,plus/minus
2025-02-03,ATL,DET,W,132-130,36,6,10,.600,1,1,1.000,6,10,.600,1,5,6,7,4,3,4,3,19,20.8,-9
2025-02-01,ATL,IND,L,127-132,36,8,15,.533,2,3,.667,5,6,.833,1,3,4,4,1,1,3,5,23,16.4,1
2025-01-30,ATL,CLE,L,115-137,30,3,8,.375,1,1,1.000,0,0,,1,6,7,5,1,0,1,1,7,8.2,-11
2025-01-28,ATL,HOU,L,96-100,37,4,12,.333,1,5,.200,3,3,1.000,2,8,10,6,4,1,1,3,12,15.7,3
2025-01-25,ATL,TOR,L,94-117,34,6,11,.545,1,2,.500,0,1,.000,1,5,6,6,5,0,4,5,13,12.7,-18
